ShipDate,OrderNumber,ItemCode,ItemDescription,OrderLocation,SKUCode,Department,UnitsSold,TotalNetRevenue,TotalCOGS,GrossMarginDollars,GrossMarginPercent,CurrentAverageCost,CurrentRetailPriceEach,Current_GM_Each,Class,Category,Sub_Class,Quarter
1/5/2007  12:00:00 AM,G0793731,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/5/2007  12:00:00 AM,WEB0793337,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/5/2007  12:00:00 AM,G0792683,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",213 - Santa Monica Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/5/2007  12:00:00 AM,G0793719,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",245 - Minneapolis Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/5/2007  12:00:00 AM,G0790997,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",285 - FlatIron Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,G0794789,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,WEB0795028,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,WEB0795409,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,1.25,0.65,0.60,48.04,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,WEB0795409,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,298.75,155.19,143.55,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,G0795294,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",215 - Newport Beach Studio,101738,LIGHTING,1.00,132.52,68.84,63.68,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,G0795294,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",215 - Newport Beach Studio,101738,LIGHTING,1.00,167.48,87.00,80.48,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,G0794272,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",217 - Pasadena Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,G0793028,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",218 - Dallas Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/8/2007  12:00:00 AM,G0795097,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",227 - Brooklyn Heights Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/10/2007  12:00:00 AM,WEB0795870,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/10/2007  12:00:00 AM,G0796673,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",221 - Soho Studio,101738,LIGHTING,9.00,"2,655.99","1,402.70","1,253.30",47.19,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/10/2007  12:00:00 AM,G0796889,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",223 - Chelsea Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/10/2007  12:00:00 AM,G0796975,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",225 - East 62nd Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/10/2007  12:00:00 AM,G0796174,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",256 - Tribeca Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/11/2007  12:00:00 AM,G0797834,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,74.63,38.77,35.86,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/11/2007  12:00:00 AM,G0797834,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,225.37,117.08,108.29,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/11/2007  12:00:00 AM,G0791721,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",215 - Newport Beach Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/11/2007  12:00:00 AM,G0797428,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",218 - Dallas Studio,101738,LIGHTING,1.00,51.82,26.92,24.90,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/11/2007  12:00:00 AM,G0797428,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",218 - Dallas Studio,101738,LIGHTING,1.00,248.18,128.93,119.25,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/11/2007  12:00:00 AM,G0797779,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",240 - Houston Studio,101738,LIGHTING,1.00,51.82,26.92,24.90,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/11/2007  12:00:00 AM,G0797779,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",240 - Houston Studio,101738,LIGHTING,1.00,248.18,128.93,119.25,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/12/2007  12:00:00 AM,G0798319,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/12/2007  12:00:00 AM,G0798609,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",238 - San Diego Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/12/2007  12:00:00 AM,G0793776,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",250 - Mill Valley Studio,101738,LIGHTING,1.00,270.00,155.86,114.15,42.28,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/12/2007  12:00:00 AM,G0798285,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",285 - FlatIron Studio,101738,LIGHTING,1.00,300.00,155.86,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
